candidate	workload	session	session_seed	block	condition	order_in_block	process_interval_seconds	exit_code	behavior_ok	coverage_artifact_ok	timed_out	timestamp
gd-tools	w11	0	336527987	1	B1	2	3.7624	0	True		False	1789890044.704
gd-tools	w11	0	336527987	2	B1	0	3.7452	0	True		False	1789890051.076
gd-tools	w11	0	336527987	2	B0	1	3.8573	0	True		False	1789890057.464
gd-tools	w11	0	336527987	2	C	2	6.1531	0	True	True	False	1789890066.244
gd-tools	w11	0	336527987	3	B0	0	3.7854	0	True		False	1789890072.745
gd-tools	w11	0	336527987	3	C	1	6.1401	0	True	True	False	1789890081.604
gd-tools	w11	0	336527987	3	B1	2	3.7506	0	True		False	1789890087.978
gd-tools	w11	0	336527987	4	B0	0	3.9618	0	True		False	1789890094.563
gd-tools	w11	0	336527987	4	C	1	6.1490	0	True	True	False	1789890103.331
gd-tools	w11	0	336527987	4	B1	2	3.6750	0	True		False	1789890109.629
gd-tools	w11	1	2320531849	0	B0	0	3.6468	0	True		False	1789890115.802
gd-tools	w11	1	2320531849	0	C	1	6.0498	0	True	True	False	1789890124.563
gd-tools	w11	1	2320531849	0	B1	2	3.5531	0	True		False	1789890130.641
gd-tools	w11	1	2320531849	1	C	0	5.9351	0	True	True	False	1789890139.105
gd-tools	w11	1	2320531849	1	B0	1	3.6372	0	True		False	1789890145.169
gd-tools	w11	1	2320531849	1	B1	2	3.5363	0	True		False	1789890151.225
gd-tools	w11	1	2320531849	2	B0	0	3.5323	0	True		False	1789890157.189
gd-tools	w11	1	2320531849	2	B1	1	3.5396	0	True		False	1789890163.249
gd-tools	w11	1	2320531849	2	C	2	5.8293	0	True	True	False	1789890171.804
gd-tools	w11	1	2320531849	3	B0	0	3.5569	0	True		False	1789890177.789
gd-tools	w11	1	2320531849	3	C	1	5.9396	0	True	True	False	1789890186.253
gd-tools	w11	1	2320531849	3	B1	2	3.6605	0	True		False	1789890192.344
gd-tools	w11	1	2320531849	4	C	0	5.8373	0	True	True	False	1789890200.702
gd-tools	w11	1	2320531849	4	B1	1	3.5376	0	True		False	1789890206.671
gd-tools	w11	1	2320531849	4	B0	2	3.5446	0	True		False	1789890212.647
nano-coverage	w01	0	3815523264	0	B0	0	1.7430	0	True		False	1789890217.194
nano-coverage	w01	0	3815523264	0	C	1	1.8540	0	True	True	False	1789890222.604
nano-coverage	w01	0	3815523264	1	C	0	1.8586	0	True	True	False	1789890227.925
nano-coverage	w01	0	3815523264	1	B0	1	1.7317	0	True		False	1789890232.374
nano-coverage	w01	0	3815523264	2	B0	0	1.7363	0	True		False	1789890236.918
nano-coverage	w01	0	3815523264	2	C	1	1.8531	0	True	True	False	1789890242.236
nano-coverage	w01	0	3815523264	3	B0	0	1.7625	0	True		False	1789890246.906
nano-coverage	w01	0	3815523264	3	C	1	1.8043	0	True	True	False	1789890252.176
nano-coverage	w01	0	3815523264	4	B0	0	1.7117	0	True		False	1789890256.697
nano-coverage	w01	0	3815523264	4	C	1	1.7771	0	True	True	False	1789890261.939
nano-coverage	w01	1	3674507223	0	B0	0	1.7750	0	True		False	1789890266.519
nano-coverage	w01	1	3674507223	0	C	1	1.8370	0	True	True	False	1789890271.825
nano-coverage	w01	1	3674507223	1	B0	0	1.7202	0	True		False	1789890276.261
nano-coverage	w01	1	3674507223	1	C	1	1.8448	0	True	True	False	1789890281.580
nano-coverage	w01	1	3674507223	2	B0	0	1.7414	0	True		False	1789890286.040
nano-coverage	w01	1	3674507223	2	C	1	1.8171	0	True	True	False	1789890291.331
nano-coverage	w01	1	3674507223	3	C	0	1.8495	0	True	True	False	1789890296.644
nano-coverage	w01	1	3674507223	3	B0	1	1.7485	0	True		False	1789890301.197
nano-coverage	w01	1	3674507223	4	C	0	1.8286	0	True	True	False	1789890306.486
nano-coverage	w01	1	3674507223	4	B0	1	1.8105	0	True		False	1789890311.008
nano-coverage	w03	0	4021838067	0	C	0	9.0673	0	True	True	False	1789890323.630
nano-coverage	w03	0	4021838067	0	B0	1	2.3158	0	True		False	1789890328.752
nano-coverage	w03	0	4021838067	1	C	0	8.9563	0	True	True	False	1789890341.181
nano-coverage	w03	0	4021838067	1	B0	1	2.4150	0	True		False	1789890346.312
nano-coverage	w03	0	4021838067	2	B0	0	2.3416	0	True		False	1789890351.373
nano-coverage	w03	0	4021838067	2	C	1	8.8129	0	True	True	False	1789890363.655
nano-coverage	w03	0	4021838067	3	B0	0	2.3850	0	True		False	1789890368.848
nano-coverage	w03	0	4021838067	3	C	1	8.6113	0	True	True	False	1789890380.920
nano-coverage	w03	0	4021838067	4	B0	0	2.3930	0	True		False	1789890386.119
nano-coverage	w03	0	4021838067	4	C	1	8.5193	0	True	True	False	1789890398.103
nano-coverage	w03	1	3179519791	0	B0	0	2.4021	0	True		False	1789890403.412
nano-coverage	w03	1	3179519791	0	C	1	8.8286	0	True	True	False	1789890415.997
nano-coverage	w03	1	3179519791	1	B0	0	2.3888	0	True		False	1789890421.390
nano-coverage	w03	1	3179519791	1	C	1	8.8761	0	True	True	False	1789890433.928
nano-coverage	w03	1	3179519791	2	B0	0	2.4791	0	True		False	1789890439.401
nano-coverage	w03	1	3179519791	2	C	1	8.8418	0	True	True	False	1789890451.987
nano-coverage	w03	1	3179519791	3	B0	0	2.4893	0	True		False	1789890457.389
nano-coverage	w03	1	3179519791	3	C	1	8.9585	0	True	True	False	1789890470.101
nano-coverage	w03	1	3179519791	4	B0	0	2.5103	0	True		False	1789890475.515
nano-coverage	w03	1	3179519791	4	C	1	9.4160	0	True	True	False	1789890488.680
nano-coverage	w05	0	3390383735	0	C	0	3.8284	0	True	True	False	1789890496.066
nano-coverage	w05	0	3390383735	0	B0	1	2.4130	0	True		False	1789890501.287
nano-coverage	w05	0	3390383735	1	C	0	3.8135	0	True	True	False	1789890508.564
nano-coverage	w05	0	3390383735	1	B0	1	2.3461	0	True		False	1789890513.624
nano-coverage	w05	0	3390383735	2	C	0	4.0917	0	True	True	False	1789890521.364
nano-coverage	w05	0	3390383735	2	B0	1	2.4954	0	True		False	1789890526.575
nano-coverage	w05	0	3390383735	3	C	0	3.7692	0	True	True	False	1789890533.814
nano-coverage	w05	0	3390383735	3	B0	1	2.4782	0	True		False	1789890539.107
nano-coverage	w05	0	3390383735	4	C	0	4.0921	0	True	True	False	1789890546.674
nano-coverage	w05	0	3390383735	4	B0	1	2.4767	0	True		False	1789890552.058
nano-coverage	w05	1	1708416289	0	B0	0	2.4392	0	True		False	1789890557.404
nano-coverage	w05	1	1708416289	0	C	1	3.9814	0	True	True	False	1789890564.940
nano-coverage	w05	1	1708416289	1	C	0	3.8191	0	True	True	False	1789890572.224
nano-coverage	w05	1	1708416289	1	B0	1	2.4369	0	True		False	1789890577.373
nano-coverage	w05	1	1708416289	2	B0	0	2.4127	0	True		False	1789890582.590
nano-coverage	w05	1	1708416289	2	C	1	3.8437	0	True	True	False	1789890589.898
nano-coverage	w05	1	1708416289	3	C	0	3.7752	0	True	True	False	1789890597.228
nano-coverage	w05	1	1708416289	3	B0	1	2.4363	0	True		False	1789890602.472
nano-coverage	w05	1	1708416289	4	C	0	3.9280	0	True	True	False	1789890610.049
nano-coverage	w05	1	1708416289	4	B0	1	2.6014	0	True		False	1789890615.553
nano-coverage	w11	0	2418735024	0	B0	0	2.0660	0	True		False	1789890620.523
nano-coverage	w11	0	2418735024	0	C	1	3.8414	0	True	True	False	1789890628.118
nano-coverage	w11	0	2418735024	1	C	0	3.8221	0	True	True	False	1789890635.609
nano-coverage	w11	0	2418735024	1	B0	1	2.0495	0	True		False	1789890640.562
nano-coverage	w11	0	2418735024	2	B0	0	1.9643	0	True		False	1789890645.430
nano-coverage	w11	0	2418735024	2	C	1	3.8864	0	True	True	False	1789890652.969
nano-coverage	w11	0	2418735024	3	C	0	3.9111	0	True	True	False	1789890660.720
nano-coverage	w11	0	2418735024	3	B0	1	2.0651	0	True		False	1789890665.784
nano-coverage	w11	0	2418735024	4	B0	0	2.0131	0	True		False	1789890670.798
nano-coverage	w11	0	2418735024	4	C	1	3.7954	0	True	True	False	1789890678.259
nano-coverage	w11	1	3333894970	0	B0	0	2.0574	0	True		False	1789890683.317
nano-coverage	w11	1	3333894970	0	C	1	3.8418	0	True	True	False	1789890690.903
nano-coverage	w11	1	3333894970	1	C	0	3.8622	0	True	True	False	1789890698.605
nano-coverage	w11	1	3333894970	1	B0	1	2.0013	0	True		False	1789890703.509
nano-coverage	w11	1	3333894970	2	C	0	3.7274	0	True	True	False	1789890710.701
nano-coverage	w11	1	3333894970	2	B0	1	1.9300	0	True		False	1789890715.435
nano-coverage	w11	1	3333894970	3	B0	0	1.9595	0	True		False	1789890720.196
nano-coverage	w11	1	3333894970	3	C	1	3.7916	0	True	True	False	1789890727.450
nano-coverage	w11	1	3333894970	4	C	0	3.6905	0	True	True	False	1789890734.603
nano-coverage	w11	1	3333894970	4	B0	1	1.9684	0	True		False	1789890739.377
